people_percent,play_time,rank,scenery_name,score
3%,2小时 - 4小时,16,观音桥步行街,4.5
31%,0.3小时 - 0.5小时,1,长江索道,4.2
60%,1小时 - 3小时,1,洪崖洞民俗风貌区,4.6
0%,3天 - 6天,2,金佛山,4.4
0%,12小时 - 3天,,李子坝轻轨站,4.5
0%,1小时 - 2小时,132,长嘉汇弹子石老街,4.6
0%,3天 - 6天,5,武隆喀斯特旅游区,4.6
0%,2小时 - 3小时,,放牛村,0
58%,2小时 - 5小时,4,解放碑步行街,4.6
55%,3小时 - 4小时,3,磁器口古镇,4.4
0%,,121,黄桷坪,4.3
5%,4小时 - 5小时,11,大足石刻,4.6
0%,12小时 - 3天,,苓茏苑,0
0%,3小时 - 5小时,44,重庆动物园,4.7
0%,2小时 - 3小时,857,海石公园,3.6
0%,1小时 - 2小时,,重庆云端之眼观景台,4.3
0%,2小时 - 3小时,,重庆十八梯传统风貌区,4.3
5%,2小时 - 3小时,30,鹅岭公园,4.6
5%,12小时 - 3天,2,仙女山国家森林公园,4.5
20%,1小时 - 2小时,8,南山一棵树观景台,4.4
12%,2小时 - 3小时,6,武隆天生三桥,4.7
0%,1小时 - 3小时,68,二厂文创公园,4.3
2%,2小时 - 3小时,39,歌乐山国家森林公园,4.5
0%,3小时 - 4小时,196,鸿恩寺森林公园,4.5
0%,0.5小时 - 1小时,,千厮门大桥,4.7
0%,2小时 - 3小时,,罗中立美术馆,4.9
0%,2小时 - 3小时,,黄桷垭老街,4.0
0%,1小时 - 2小时,,重庆光环购物公园室内植物园“沐光森林”,3.9
0%,2小时 - 3小时,24,乌江画廊,4.5
42%,0.3小时 - 0.5小时,9,朝天门广场,4.5
0%,,,金刚碑·古树下的江村,0
2%,2小时 - 3小时,2,白帝城.瞿塘峡景区,4.5
1%,4小时 - 5小时,2,巫山小三峡,4.4
1%,3天,14,长江三峡,4.8
0%,1小时 - 3小时,637,壹华里夜景公园,4.1
21%,1小时 - 2小时,15,白公馆,4.5
0%,12小时 - 3天,,白马山天尺情缘景区,3.7
0%,3天 - 6天,70,四面山,4.5
12%,1小时 - 2小时,32,湖广会馆,4.5
2%,2小时 - 3小时,2,丰都鬼城名山景区,4.3
0%,2小时 - 3小时,1,万州大瀑布,4.8
1%,1.5小时,7,芙蓉江,4.6
2%,1小时 - 2小时,22,四川美术学院(黄桷坪校区),4.6
4%,5小时 - 6小时,6,小寨天坑风景区,4.4
0%,1.5小时 - 3小时,1,长寿湖,4.3
0%,1小时 - 2小时,138,李子坝公园,4.5
0%,2小时 - 3小时,87,万盛石林,4.6
0%,3天 - 6天,47,南天湖景区,4.0
0%,2小时 - 3小时,37,重庆当代美术馆,4.6
0%,12小时 - 3天,45,重庆园博园,4.7
0%,2小时 - 3小时,,十八梯,4.2
0%,2小时 - 3小时,,中复·北仓文创园,4.6
0%,1小时 - 2小时,,探索舱·云端乐园,4.8
0%,12小时 - 3天,,仙女山归原小镇,0
0%,2小时 - 3小时,,三板溪公园,0
0%,,,五宝小镇滨江乡村公园,0
0%,,,金山湖,0
0%,,6,天井峡地缝,4.3
0%,1小时 - 2小时,,816工程景区,4.7
0%,2小时 - 3小时,,板辽湖金沙滩,2.5
0%,1小时 - 2小时,67,重庆WFC会仙楼观景台,4.6
0%,0.5小时 - 1小时,363,蚩尤九黎城,4.0
0%,3小时 - 4小时,606,万灵古镇,4.6
0%,2小时 - 3小时,4,黄瓜山,4.4
0%,3小时 - 5小时,50,南山风景区,4.6
0%,1小时 - 2小时,36,乌江画廊（武隆段）,4.7
0%,,136,联合国际大厦,5.0
0%,2小时 - 3小时,110,重庆自然博物馆（新馆）,4.8
0%,4小时 - 5小时,786,蝴蝶谷,--
0%,3小时 - 4小时,360,铁山坪森林公园,4.6
0%,3小时 - 4小时,147,神龙峡风景区,4.4
3%,2小时,40,天主教若瑟堂,4.5
15%,2小时 - 3小时,18,三峡博物馆,4.6
0%,1小时 - 2小时,1,涞滩古镇,4.4
0%,1小时,149,华岩寺,4.5
0%,12小时 - 3天,1,云阳龙缸国家地质公园,4.7
0%,1小时 - 2小时,180,白鹤梁水下博物馆,4.6
21%,1小时 - 2小时,10,渣滓洞,4.5
4%,1小时 - 2小时,23,人民大礼堂,4.5
0%,2小时 - 3小时,2,钓鱼城,4.5
0%,1小时,248,黄水国家森林公园,4.3
4%,2小时 - 3小时,15,芙蓉洞,4.6
0%,2小时 - 3小时,14,重庆国泰艺术中心,4.6
4%,3小时 - 5小时,85,南山植物园,4.4
7%,2小时,250,歌乐山烈士陵园,4.6
9%,1小时 - 2小时,28,罗汉寺,4.4
0%,2小时 - 3小时,394,西沱古镇,3.8
11%,1小时 - 2小时,17,洋人街,4.1
0%,4小时 - 6小时,20,黑山谷风景区,4.5
0%,3天,1,阿依河景区,3.9
6%,2小时 - 3小时,14,龙水峡地缝,4.6
4%,1小时 - 2小时,88,红岩革命纪念馆,4.7
7%,1小时 - 3小时,7,山城步道,4.5
3%,2小时 - 3小时,76,重庆大学,4.7
7%,2小时 - 3小时,54,南滨路,4.5
1%,5小时 - 6小时,123,巫峡,4.7
1%,2小时 - 3小时,1,瞿塘峡,4.6
2%,1小时 - 2小时,84,三峡广场,4.5
2%,1小时 - 2小时,51,宋庆龄旧居,4.5
3%,2天 - 3天,1,武隆,4.5
4%,1小时 - 2小时,12,涂鸦一条街,4.5
1%,1小时 - 2小时,60,周公馆,4.4
0%,,395,涂山,4.4
3%,0.2小时 - 1小时,4,皇冠大扶梯,4.2
1%,1小时,229,新华日报营业部旧址,4.6
0%,3天,79,缙云山,4.4
1%,,167,梅园,4.5
1%,1小时 - 2小时,46,红岩魂广场,4.5
0%,3小时,298,重庆抗战遗址博物馆,4.7
