,content,scenery_name,score,send_time,user_name
0,去重庆旅游，一定会非常熟悉这个景点，重庆的景点排名中从来都是在Top5中，被称为重庆的千与千寻，而这种神奇只有在重庆这座山城才能感受的到。第一眼看图片介绍，便被深深吸引，果断种草。从朝天门广场过来的，距离很近，原本是可以步行的，最近由于朝天门在施工，不能步行了，建议打个出租过来。1.关于门票：景点是免费的，其实是个购物广场，里面有各种手工艺品和美食小吃。旁边还能俯瞰嘉陵江大桥。2.开...,洪崖洞民俗风貌区,4,2018-06-13,纽约漫时光
0,说到《千与千寻》，不知道看过的朋友们有没有发现这里面的建筑和重庆的某个地方很像呢？山城，重庆，洪崖洞，好似宫崎骏动画千与千寻中梦幻般的地方。有山，有水，有夜晚~洪崖洞在重庆市核心商圈解放碑沧白路，以巴渝传统建筑特色的“吊脚楼”风貌为主体，依山就势，沿江而建，解放碑直达江滨。洪崖洞拥有两千多年历史，在很久之前这里曾经是军事要塞，是重庆遗留下来唯一的具有特色巴渝文化和吊脚楼文化的景...,洪崖洞民俗风貌区,4,2017-11-03,娴静的女博主
0,来重庆必须要去洪崖洞逛一逛~没来之前就被重庆漫天遍地的美食及像极了80年代老香港的城市面貌安利，还有据说夜晚没得不得了的洪崖洞，这次来是一定要去看一看的啦。tips：建议一定要傍晚去哦【交通】1.乘2号线到临江门站，步行前往2.可以先玩解放碑，然后从解放碑走过去就好（我选择的路线）【亮灯时间】20:00-22:00【简介】洪崖洞位于重庆市沧白路、长江，嘉陵江两江交汇的滨江地带。以巴渝传统...,洪崖洞民俗风貌区,5,2017-08-24,一只贪吃鹿
0,洪崖洞位于重庆市核心商圈解放碑沧白路（从解放碑到洪崖洞大概10分钟路程，或出了罗汉寺往西走一公里即到；或乘248、604支线、609、868（A线）路公交车直达；或乘2号线在临江门站步行前往）、长江、嘉陵江两江交汇的滨江地带，以最具巴渝传统建筑特色的“吊脚楼”风貌为主体，依山就势，沿江而建，无需门票；是新兴的集娱乐、休闲、观光、餐饮于一体的大型功能区域，也是时下重庆最火爆、最时尚、最具风情的都...,洪崖洞民俗风貌区,4,2016-07-03,陶瓷娃娃linda_123
0,重庆市里面很出名的景点，基本上游客必去，早年是很破旧的吊脚楼，经过改造，和灯光的配置，变成了现在的样子。建议大家可以晚上去，晚上在灯光的照射下，洪崖洞的面貌会更有意境。坐地铁的话可以1号线坐到小什字或者较场口站。小什字比较近一点，但是较场口走过来可以顺便经过解放碑，同时还会经过比较出名的较场口夜市，那边也有不少吃的。所以来旅游的话推荐从较场口下车，可以顺便把重庆出名的几个景点给...,洪崖洞民俗风貌区,4,2015-11-21,落落花葬月
0,【交通】[公交]乘坐公交111 路、 112 路外环、 114 路、 132 路、 151 路、 181 路、 261 路、 262 路、 424 路、 0491 路夜班、 866 路、 881 路到[洪崖洞]站下车步行即可到达。沿途中有很多特色小吃，还有DQ店，走累了可以进去坐一坐。【门票】免费【特色】没去之前不清楚洪崖洞是什么情况，去了才发现原来就是“室内的磁器口”，不过听说是小天鹅的老板花钱建的，特意建在悬崖上，然后现在变成了很火爆的...,洪崖洞民俗风貌区,4,2015-09-29,焦焦焦点点
0,洪崖洞是传统的吊脚楼建筑，依傍着江水，可以看见千厮门大桥。非常有特色的一座桥，上下都可以同行，同样在这里拍照很美。洪崖洞有1到13层。因为独特的地势原因，如果你是从王府井这边过来，13楼在你看来就像1楼，然后从这边一层层往下，没到一层的感觉都不一样。9层到4层这边是洪崖洞酒店的客房，游客是不能通行的。12-10楼是异国美食风情街和酒吧，晚上这里特别热闹，特别是坐在酒吧的小窗外，可以看见各色...,洪崖洞民俗风貌区,5,2015-09-16,骆mando
0,洪崖洞重庆最靓的一张名品，还免门票。从解放碑步行即可到达洪崖洞，沿路有指示牌，很明显，想找不到也难。酒吧，咖啡馆，火锅，小吃，特产都集中到了一层，吃货的世界，简直不能忍，一定要空腹来这里哦。江边吃火锅的情景让我不禁联想到《让子弹飞》里面在船上吃火锅的景象，快哉快哉。在美食街小店吃了凉虾，它冰爽可口，甜甜的。小面既麻又辣，香喷喷。最下面一层是购物的，没特别的（一般很少在景区买，...,洪崖洞民俗风貌区,5,2015-09-02,junlong34
0,洪崖洞这里是一栋非常具有特色的吊脚楼建筑，白天和晚上都来过这里，但是相对白天，还是更热爱晚上的洪崖洞，晚上的这些吊脚楼灯光全部亮起，一团金碧辉煌，这些建筑又具有巴渝传统建筑，刚好就在江边，晚上来这里可以登高眺望江景，景色非常的壮美。洪崖洞整群建筑一共11层，来这里可以逐层步行参观，也可以乘坐电梯上来也是可以的，晚上的灯光璀璨，热闹非凡。【位置】洪崖洞是在重庆市渝中区嘉滨路88号，如...,洪崖洞民俗风貌区,5,2015-08-17,凤凰花开的路口但看岁…
0,洪崖洞与《千与千寻》中的客栈真的蛮像的！当初就是因为网民游客的介绍去的，果然名不虚传，白天看看还不怎么像，到了晚上，金碧辉煌的，真的很美很贵气！洪崖洞门票免费，且里解放碑、朝天门码头、湖广会馆都很近，交通方便！有公交去重大哟~洪崖洞有四五层左右，有美食，重庆小吃少不了的！有酒吧，可以和老外们搭讪两句卖弄几句英语，有买纪念品的，捎上两个吧，不过价格是不用说的了~还有旅店，无敌江景也...,洪崖洞民俗风貌区,4,2015-08-11,豌豆荚的幸福人生
0,全重庆最靓的甜品小火锅，一口火锅一口冰火锅飘香不怕巷子深🔥如果你想吃一家拥有地道重庆味，装修复古好拍，拥有甜品店级沙冰的火锅店，那你一定要来抄姐火锅！！若不是本地朋友带路，真的怕找不到不在主路上，往来的食客络绎不绝！甜品小火锅惊艳味蕾🔥最让我惊艳的是店里推出的四款沙冰小火锅，无论卖相还是味道，真的是专业级选手。刚上桌的时候，服务员会点上干冰，烟雾缭绕的亚子，满满仪式感...,洪崖洞民俗风貌区,0,2020-11-09,胖米的好时光
0,洪崖洞，对于我来说是一个充满回忆的地方，所以2016年的春节我又借机会故地重游了。洪崖洞是重庆主城区的一个非常著名的景点，该景点就在长江江畔，距离闹市区也非常的近。洪崖洞主要展现的是巴渝生活文化，在景区的所有角落及布局处处都彰显了巴渝那种非常土著原始的民风、习俗，也是每个来雾都旅游的人士必来之处。重庆的吊脚楼，非常有名的，在洪崖洞的最顶端有一处铜制的雕塑就是就是吊脚楼的缩影，非常...,洪崖洞民俗风貌区,5,2016-02-13,延子聂
0,入住：重庆解放碑全季（酒店隔音很差，如果大声说话隔壁也能听清楚内容）酒店步行四分钟到达八一路好吃街：好又来酸辣粉，巴渝正月山城小汤圆酒店--洪崖洞 步行14分钟。洪崖洞游玩攻略：洪崖洞一共11层，从解放碑步行过来，到达的是11层，一个露天平台，可以看到千厮门大桥以及长江夜景。11层与1层是出口。洪崖洞依山而建，因此旁边有一条山路，可以到达每一层，对于里面爆满的电梯和楼梯，建议走靠山的楼...,洪崖洞民俗风貌区,4,2018-05-22,lilileilei
0,吃完饭就要去重庆最最出名的景点洪崖洞了，多少人来重庆都是为了看一眼《千与千寻》里的现实场景。洪崖洞的人是真的多，每个拍照好的地方都被人群挤得满满的，想要一张没有其他人乱入的完美照片是很难的。手持拍照，尽力了。洪崖洞洪崖洞洪崖洞洪崖洞洪崖洞这一张是被阿姨乱入了。。现在不仅洪崖洞正面的人很多，连千厮门大桥上也是人挤人，不过这两个地方最好都要去，角度不同看的风景也不同。回去的时候...,洪崖洞民俗风貌区,5,2018-05-08,qunar用户
0,##我要精彩台历#解放碑：全国步行街模式之一，无非就是各种专卖各种品牌聚集的地方，永远不缺摩肩接踵，车水马龙，解放碑漠然的矗立在步行街的中心，淡然看尽繁华。洪崖洞：重庆市区最火的景点，是对巴渝传统建筑“吊脚楼”的复现。它依山就势，沿崖而建，极富特色，尤其到了夜晚，整个建筑全部亮起黄灯，飞檐层叠，美轮美奂，被誉为现实版的“千与千寻”。最让人津津乐道之处，是它作为一个11层的建筑，得益...,洪崖洞民俗风貌区,4,2017-12-14,去哪儿用户
0,洪崖洞是比较能够代表重庆特殊地貌的建筑形态的一个地方，从不同的角度看就会有不一样的体验。你以为你在地面，其实你所在的是地上七八层的位置，坐电梯容易搞混。这是一个建筑形式中式，商业街内容又international的一个特色商业街，临江而建。建筑多采用木结构，中式风格浓郁，商业街内容丰富，有酒店、剧院、特产商店、酒吧、各国小吃。远眺长江，去的时候天气不太好，灰蒙蒙的一片阴雨天前奏。宏伟的长江...,洪崖洞民俗风貌区,4,2016-03-02,溺水的鱼
0,重庆好玩的地方有很多，但我觉得最让人震撼的当属洪崖洞了。洪崖洞位于长江和嘉陵江的交汇处，距离解放碑、朝天门等景点都很近，所以在逛了解放碑后可以顺路去洪崖洞，十几分钟的路程就可以走到。洪崖洞一定要晚上去，天黑了才好看。由于是国庆节去的嘛，洪崖洞简直是人山人海，排队进去甚至都花了半个小时。不过洪崖洞真的很魔幻，刚进去以为是在1楼，看了下楼层才知道是11楼。在重庆，你永远不知道现在是几...,洪崖洞民俗风貌区,5,2019-06-03,紫菜
0,洪崖洞的美，很多年前就觉得很神奇。作为一个重庆本土妹儿，夜晚的嘉宾路上抬头望去，那时候觉得像一个迷幻的建筑。再一次来到洪崖洞，人山人海，人山人海......我们是在千厮门江北嘴那边下车的，一路从江北嘴沿着千厮门向洪崖洞走。远看洪崖洞，依山而建，在四周的高楼林立里，灯火辉煌。千厮门大桥一路上有人唱歌，有人卖小东西，有人表演，有趣的夜市感觉。路上偶遇一个唱歌的小哥哥，背着吉他，唱着赵雷...,洪崖洞民俗风貌区,5,2018-11-05,摄影小可
0,洪崖洞——重庆的名片，一个具有巴渝传统建筑特色的“吊脚楼”，楼高12层，而且不是一层一层的上，而是一层一层的下，可以说非常有特色，建议傍晚十分来看夜景，或者去酒吧喝上两杯。可以乘坐地铁1号线至[小什字]站下车，9出口出，向西北方向步行10分钟即可到达，另外这里距离解放碑商业圈也是非常近，可以一并游览。里面有很多卖重庆特产的，火锅、露天茶室也有，不过消费比较高，晚上会有很多酒吧营业，比较...,洪崖洞民俗风貌区,4,2015-12-15,Morrissey_Simon
0,重庆的夜景很美，力荐去洪崖洞，重庆味十足，可以算很能代表重庆的建筑了。洪崖洞位于重庆市中心解放碑沧白路，两江交汇的滨江路上。以巴渝传统建筑吊脚楼风貌为主体，依山就势，沿江而建，是重庆市一张城市名片。作为免费的开放式景区，推荐夜间游览，由于重庆独特地势，在这里总能看到层层叠叠的灯光和吊脚群楼交相辉映，非常壮观。公交111、181、261等路都要经过洪崖洞，最方便的是从解放碑步行过去，洪崖...,洪崖洞民俗风貌区,5,2015-09-02,radishdream
